Id,Label,Weight
曹雪芹,曹雪芹,5
甄士隐,甄士隐,11
贾雨村,贾雨村,21
石头,石头,19
封氏,封氏,2
英莲,英莲,11
神瑛侍者,神瑛侍者,7
警幻,警幻,30
严老爷,严老爷,1
霍启,霍启,2
鸳鸯,鸳鸯,425
冷子兴,冷子兴,9
甄家娘子,甄家娘子,4
娇杏,娇杏,1
林如海,林如海,11
贾氏,贾氏,5
智通,智通,3
老僧,老僧,2
贾复,贾复,1
荣国公,荣国公,6
贾代化,贾代化,2
贾敷,贾敷,1
贾敬,贾敬,10
贾珍,贾珍,284
贾蓉,贾蓉,176
贾政,贾政,433
皇上,皇上,23
王氏,王氏,2
贾珠,贾珠,6
宝玉,宝玉,3766
小厮,小厮,222
迎春,迎春,140
探春,探春,432
惜春,惜春,150
贾敏,贾敏,1
贾琏,贾琏,679
林黛玉,林黛玉,280
张如圭,张如圭,2
鹦鹉,鹦鹉,6
贾母,贾母,1252
翡翠,翡翠,5
王熙凤,王熙凤,2161
邢氏,邢氏,1
邢夫人,邢夫人,284
贾源,贾源,2
玻璃,玻璃,24
小幺儿,小幺儿,10
李氏,李氏,22
王嬷嬷,王嬷嬷,3
小丫头,小丫头,287
雪雁,雪雁,105
鹦哥,鹦哥,14
李嬷嬷,李嬷嬷,37
珍珠,珍珠,24
薛蟠,薛蟠,237
王子腾,王子腾,25
贾兰,贾兰,61
拐子,拐子,18
门子,门子,31
史公,史公,1
王公,王公,6
薛公,薛公,1
王老爷,王老爷,5
冯渊,冯渊,6
宝钗,宝钗,747
薛姨妈,薛姨妈,453
薛宝钗,薛宝钗,28
秦可卿,秦可卿,70
媚人,媚人,1
麝月,麝月,233
狗儿,狗儿,14
刘氏,刘氏,5
琥珀,琥珀,58
板儿,板儿,34
青儿,青儿,15
周瑞,周瑞,33
周大娘,周大娘,7
周嫂子,周嫂子,5
凤哥,凤哥,2
周姐姐,周姐姐,6
秦钟,秦钟,73
金钏儿,金钏儿,39
金钏,金钏,9
司棋,司棋,62
智能,智能,26
丰儿,丰儿,37
彩明,彩明,8
尤氏,尤氏,267
赖二,赖二,1
詹光,詹光,9
单聘仁,单聘仁,3
吴新登,吴新登,13
