Id,Label,Idf
曹雪芹,曹雪芹,3
甄士隐,甄士隐,3
贾雨村,贾雨村,3
石头,石头,3
封氏,封氏,3
英莲,英莲,3
神瑛侍者,神瑛侍者,3
警幻,警幻,3
严老爷,严老爷,4
霍启,霍启,4
鸳鸯,鸳鸯,2
冷子兴,冷子兴,3
甄家娘子,甄家娘子,4
娇杏,娇杏,4
林如海,林如海,3
贾氏,贾氏,3
智通,智通,3
老僧,老僧,3
贾复,贾复,4
荣国公,荣国公,3
贾代化,贾代化,3
贾敷,贾敷,4
贾敬,贾敬,3
贾珍,贾珍,2
贾蓉,贾蓉,2
贾政,贾政,2
皇上,皇上,3
王氏,王氏,3
贾珠,贾珠,3
宝玉,宝玉,1
小厮,小厮,2
迎春,迎春,2
探春,探春,2
惜春,惜春,2
贾敏,贾敏,4
贾琏,贾琏,2
林黛玉,林黛玉,2
张如圭,张如圭,4
鹦鹉,鹦鹉,3
贾母,贾母,1
翡翠,翡翠,3
王熙凤,王熙凤,1
邢氏,邢氏,4
邢夫人,邢夫人,2
贾源,贾源,3
玻璃,玻璃,3
小幺儿,小幺儿,3
李氏,李氏,3
王嬷嬷,王嬷嬷,4
小丫头,小丫头,2
雪雁,雪雁,2
鹦哥,鹦哥,3
李嬷嬷,李嬷嬷,3
珍珠,珍珠,3
薛蟠,薛蟠,2
王子腾,王子腾,3
贾兰,贾兰,2
拐子,拐子,3
门子,门子,3
史公,史公,4
王公,王公,3
薛公,薛公,4
王老爷,王老爷,3
冯渊,冯渊,3
宝钗,宝钗,1
薛姨妈,薛姨妈,2
薛宝钗,薛宝钗,3
秦可卿,秦可卿,2
媚人,媚人,4
麝月,麝月,2
狗儿,狗儿,3
刘氏,刘氏,3
琥珀,琥珀,2
板儿,板儿,3
青儿,青儿,3
周瑞,周瑞,3
周大娘,周大娘,3
周嫂子,周嫂子,3
凤哥,凤哥,3
周姐姐,周姐姐,3
秦钟,秦钟,2
金钏儿,金钏儿,3
金钏,金钏,3
司棋,司棋,3
智能,智能,3
丰儿,丰儿,3
彩明,彩明,3
尤氏,尤氏,2
赖二,赖二,4
詹光,詹光,3
单聘仁,单聘仁,3
吴新登,吴新登,3
戴良,戴良,3
钱华,钱华,4
紫鹃,紫鹃,2
