Id,Label,Weight
石头,石头,19
警幻,警幻,30
鸳鸯,鸳鸯,425
冷子兴,冷子兴,9
贾代化,贾代化,2
贾敬,贾敬,10
贾珍,贾珍,284
贾蓉,贾蓉,176
贾政,贾政,433
皇上,皇上,23
宝玉,宝玉,3766
小厮,小厮,222
迎春,迎春,140
探春,探春,432
惜春,惜春,150
贾琏,贾琏,679
林黛玉,林黛玉,280
贾母,贾母,1252
王熙凤,王熙凤,2161
邢夫人,邢夫人,284
玻璃,玻璃,24
小幺儿,小幺儿,10
小丫头,小丫头,287
薛蟠,薛蟠,237
王子腾,王子腾,25
贾兰,贾兰,61
王公,王公,6
宝钗,宝钗,747
薛姨妈,薛姨妈,453
薛宝钗,薛宝钗,28
秦可卿,秦可卿,70
麝月,麝月,233
琥珀,琥珀,58
周瑞,周瑞,33
周姐姐,周姐姐,6
秦钟,秦钟,73
智能,智能,26
丰儿,丰儿,37
彩明,彩明,8
尤氏,尤氏,267
赖二,赖二,1
詹光,詹光,9
吴新登,吴新登,13
贾代儒,贾代儒,4
李贵,李贵,29
贾瑞,贾瑞,48
金荣,金荣,30
贾蔷,贾蔷,17
贾菌,贾菌,11
金氏,金氏,5
冯紫英,冯紫英,58
北静郡王,北静郡王,5
贾敕,贾敕,1
贾效,贾效,1
贾敦,贾敦,1
贾琮,贾琮,6
贾珩,贾珩,2
贾琛,贾琛,2
贾琼,贾琼,4
贾菱,贾菱,4
贾芸,贾芸,140
贾芹,贾芹,33
贾蓁,贾蓁,1
贾萍,贾萍,2
贾藻,贾藻,1
贾蘅,贾蘅,1
贾芬,贾芬,1
贾芳,贾芳,1
贾芝,贾芝,2
宝珠,宝珠,6
戴权,戴权,6
老三,老三,6
北静王,北静王,43
水溶,水溶,16
旺儿,旺儿,35
赖大,赖大,30
林之孝,林之孝,143
贾环,贾环,116
史湘云,史湘云,82
文官,文官,18
彩屏,彩屏,27
王太医,王太医,23
凤丫头,凤丫头,63
李纹,李纹,19
佩凤,佩凤,15
尤二姐,尤二姐,91
尤三姐,尤三姐,35
尤老娘,尤老娘,16
王信,王信,4
王善保,王善保,28
