Source,Target,Weight
秦可卿,尤氏,4863
秦可卿,宝玉,4552
秦可卿,王熙凤,4103
秦可卿,贾蓉,3553
秦可卿,贾珍,3486
秦可卿,秦钟,2708
秦可卿,邢夫人,2396
秦可卿,贾母,2309
秦可卿,贾瑞,2176
秦可卿,冯紫英,2138
秦可卿,宝珠,2096
秦可卿,贾琛,2056
秦可卿,小厮,2020
秦可卿,贾蔷,2020
秦可卿,戴权,2012
秦可卿,智能,2000
秦可卿,贾代儒,1964
秦可卿,贾琼,1964
秦可卿,林黛玉,1916
秦可卿,宝钗,1880
秦可卿,贾敕,1872
秦可卿,贾效,1872
秦可卿,贾敦,1872
秦可卿,贾蓁,1872
秦可卿,贾藻,1872
秦可卿,贾蘅,1872
秦可卿,贾芬,1872
秦可卿,贾芳,1872
秦可卿,金氏,1866
秦可卿,小丫头,1860
秦可卿,贾琏,1836
秦可卿,周瑞,1834
秦可卿,薛蟠,1828
秦可卿,贾琮,1826
秦可卿,贾珩,1826
秦可卿,贾菱,1826
秦可卿,贾芹,1826
秦可卿,贾萍,1826
秦可卿,贾菌,1826
秦可卿,贾芝,1826
秦可卿,金荣,1814
秦可卿,贾政,1812
秦可卿,鸳鸯,1812
秦可卿,麝月,1800
秦可卿,贾芸,1780
秦可卿,贾兰,1780
秦可卿,老三,1778
秦可卿,薛姨妈,1768
秦可卿,警幻,1753
秦可卿,秦可卿,1744
秦可卿,贾代化,1730
秦可卿,詹光,1718
秦可卿,吴新登,1718
秦可卿,小幺儿,1718
秦可卿,赖二,1713
秦可卿,彩明,1712
秦可卿,旺儿,1712
秦可卿,水溶,1706
秦可卿,李贵,1688
秦可卿,北静王,1688
秦可卿,贾环,1688
秦可卿,王子腾,1688
秦可卿,惜春,1628
秦可卿,玻璃,1628
秦可卿,尤三姐,1628
秦可卿,迎春,1620
秦可卿,探春,1612
秦可卿,琥珀,1604
秦可卿,丰儿,1602
秦可卿,北静郡王,1599
秦可卿,薛宝钗,1591
秦可卿,石头,1554
秦可卿,贾敬,1548
秦可卿,皇上,1548
秦可卿,赖大,1548
秦可卿,林之孝,1548
秦可卿,文官,1548
秦可卿,彩屏,1548
秦可卿,王公,1548
秦可卿,王太医,1548
秦可卿,李纹,1548
秦可卿,史湘云,1548
秦可卿,尤二姐,1548
秦可卿,尤老娘,1548
秦可卿,王信,1548
秦可卿,凤丫头,1548
秦可卿,王善保,1548
秦可卿,佩凤,1548
秦可卿,周姐姐,1534
秦可卿,冷子兴,1534
