Source,Target,Weight
秦可卿,宝玉,1596
秦可卿,林黛玉,43
秦可卿,贾母,314
秦可卿,迎春,18
秦可卿,探春,16
秦可卿,惜春,20
秦可卿,薛宝钗,25
秦可卿,宝钗,68
秦可卿,小丫头,29
秦可卿,邢夫人,177
秦可卿,王熙凤,1311
秦可卿,媚人,28
秦可卿,麝月,28
秦可卿,狗儿,57
秦可卿,警幻,93
秦可卿,板儿,4
秦可卿,刘氏,11
秦可卿,青儿,3
秦可卿,周瑞,15
秦可卿,周姐姐,14
秦可卿,冷子兴,14
秦可卿,尤氏,882
秦可卿,贾蓉,514
秦可卿,智能,52
秦可卿,玻璃,4
秦可卿,丰儿,9
秦可卿,贾琏,23
秦可卿,彩明,4
秦可卿,秦钟,290
秦可卿,小厮,69
秦可卿,贾珍,495
秦可卿,赖二,11
秦可卿,詹光,5
秦可卿,单聘仁,5
秦可卿,吴新登,5
秦可卿,戴良,5
秦可卿,钱华,5
秦可卿,小幺儿,5
秦可卿,薛姨妈,20
秦可卿,贾璜,12
秦可卿,金荣,21
秦可卿,金氏,84
秦可卿,胡氏,3
秦可卿,冯紫英,75
秦可卿,北静郡王,19
秦可卿,贾瑞,72
秦可卿,贾代儒,46
秦可卿,贾敕,23
秦可卿,贾效,23
秦可卿,贾敦,23
秦可卿,贾政,31
秦可卿,贾琮,23
秦可卿,贾珩,23
秦可卿,贾琛,46
秦可卿,贾琼,46
秦可卿,贾蔷,46
秦可卿,贾菱,23
秦可卿,贾芸,23
秦可卿,贾芹,23
秦可卿,贾蓁,23
秦可卿,贾萍,23
秦可卿,贾藻,23
秦可卿,贾蘅,23
秦可卿,贾芬,23
秦可卿,贾芳,23
秦可卿,贾兰,23
秦可卿,贾菌,23
秦可卿,贾芝,23
秦可卿,薛蟠,21
秦可卿,宝珠,68
秦可卿,戴权,54
秦可卿,老三,15
秦可卿,贾代化,7
秦可卿,水溶,3
秦可卿,旺儿,4
秦可卿,净虚,5
秦可卿,智善,10
秦可卿,胡老爷,6
秦可卿,金哥,12
秦可卿,云老爷,8
秦可卿,石头,1
秦可卿,小红,1
秦可卿,裘世安,2
秦可卿,王忠,1
秦可卿,鲍音,1
秦可卿,贾化,1
秦可卿,李孝,1
秦可卿,贾范,1
