宝玉 丈夫的叔叔，"梦淫"对象
媚人 丫鬟
麝月 丫鬟
狗儿 看了一下文本，这不是人名，是真的狗......
警幻仙子 仙界中，秦可卿的姐姐
贾母 婆婆
王夫人 知己
尤氏 婆婆
贾蓉 丈夫
秦钟 弟弟
薛宝钗 查不到
詹光 没关系
单聘仁 没关系
吴新登 没关系
戴良 没关系
钱华 没关系
金氏 婆婆的小婶子
贾珍 公公(但是有不正当关系)
冯紫英 未知，但是可卿生病时他推荐了一位医生
邢夫人 关系有点乱，我理不清，感觉是弱关系
贾瑞 弱关系
林黛玉 长辈，但关系不是很亲密
贾代儒 弱关系（出席过可卿的葬礼）
贾敕 弱关系
贾效 弱关系
贾敦 弱关系
贾政 丈夫的堂叔
贾琮 弱关系
贾珩 弱关系
贾琛 弱关系
贾琼 弱关系
贾蔷 弱关系
贾菱 弱关系
贾芸 弱关系
贾芹 弱关系
贾蓁 弱关系
贾萍 弱关系
贾藻 弱关系
贾蘅 弱关系
贾芬 弱关系
贾芳 弱关系
贾兰 弱关系
贾菌 弱关系
贾芝 弱关系
薛蟠 送了可卿棺木，算弱关系吧
宝珠 丫鬟
净虚 和尚，没关系
智善 和尚，没关系
智能 没啥关系，寺庙里的小和尚
胡老爷 没关系
丰儿 王熙凤的丫鬟
小红 王熙凤的丫鬟
贾琏 丈夫的叔叔
裘世安 没关系
王忠 没关系
鲍音 没关系
贾化 没关系
李孝 没关系
贾范 没关系
鸳鸯 丫鬟
秦业 父亲
瑞珠 丫头
